"","image","plate","column","row","particles","area","perim","mean","circ","AR","round","solidity","r","g","b","sqmm"
"1","IMG_2100 3.jpg",1,1,"A",2,2789,296.149,85,0.6615,1.931,0.537,0.9105,96.9915,101.9415,49.8175,1.66712085493633
"2","IMG_2100 3.jpg",1,1,"B",3,8138,616.825,85,0.660666666666667,1.986,0.547333333333333,0.925333333333333,85.883,95.1793333333333,41.93,4.86447813462597
"3","IMG_2100 3.jpg",1,1,"C",1,7654,507.671,85.038,0.373,2.26,0.443,0.817,75.216,87.243,33.743,4.57516781057104
"4","IMG_2100 3.jpg",1,1,"D",1,6543,355.362,85.183,0.651,1.608,0.622,0.912,74.88,86.078,32.761,3.91106911217224
"5","IMG_2100 3.jpg",1,1,"E",2,6755,499.387,85,0.6665,2.0415,0.492,0.937,88.387,96.06,43.611,4.03779181609712
"6","IMG_2100 3.jpg",1,1,"F",1,5521,344.475,85.024,0.585,1.824,0.548,0.878,98.708,104.291,43.757,3.30017003947775
"7","IMG_2100 3.jpg",1,1,"G",1,742,189.439,85,0.26,5.538,0.181,0.746,84.627,89.376,43.964,0.443529463737093
"8","IMG_2100 3.jpg",1,1,"H",2,8097,508.985,85.014,0.7315,1.577,0.634,0.9545,57.824,69.421,23.2045,4.83997044188578
"9","IMG_2100 3.jpg",1,2,"A",2,24157,952.815,85,0.6645,1.537,0.652,0.913,74.248,88.094,29.3645,14.4398130127991
"10","IMG_2100 3.jpg",1,2,"B",1,15754,821.252,85.002,0.294,2.244,0.446,0.663,87.489,98.996,38.412,9.41693149826708
"11","IMG_2100 3.jpg",1,2,"C",2,10621,701.353,85,0.58,2.597,0.4175,0.883,84.0205,94.7265,33.2095,6.348687916916
"12","IMG_2100 3.jpg",1,2,"D",1,31384,1300.604,85,0.233,1.184,0.845,0.728,79.989,92.606,32.5,18.7597421697102
"13","IMG_2100 3.jpg",1,2,"E",1,7822,517.37,85.039,0.367,2.659,0.376,0.823,106.986,112.726,48.894,4.67558957594548
"14","IMG_2100 3.jpg",1,2,"F",2,14651,689.352,85,0.749,1.6075,0.6265,0.941,77.334,90.8505,33.443,8.75761478869563
"15","IMG_2100 3.jpg",1,2,"G",2,7871,752.891,87.3625,0.42,1.76,0.6135,0.8955,109.959,112.794,54.312,4.70487925751302
"16","IMG_2100 3.jpg",1,2,"H",1,10047,522.399,85,0.463,2.469,0.405,0.813,78.446,90.033,32.911,6.00558021855334
"17","IMG_2100 3.jpg",1,3,"A",3,26310,1236.295,85.0003333333333,0.649666666666667,2.076,0.508,0.907,73.0276666666667,86.8496666666667,28.0483333333333,15.7267657559608
"18","IMG_2100 3.jpg",1,3,"B",1,1779,324.836,85.052,0.212,3.123,0.32,0.692,102.192,107.338,57.994,1.06339476548287
"19","IMG_2100 3.jpg",1,3,"C",3,14077,812.548,85.0853333333333,0.801666666666667,1.36166666666667,0.740333333333333,0.963666666666667,83.187,93.2093333333333,37.243,8.41450709033297
"20","IMG_2100 3.jpg",1,3,"D",3,22840,1109.384,85.0816666666667,0.700333333333333,1.837,0.553,0.922333333333333,82.753,96.268,34.6336666666667,13.652578102096
"21","IMG_2100 3.jpg",1,3,"E",2,10482,603.914,85.002,0.663,1.8235,0.557,0.9235,94.2375,104.2305,45.886,6.26560086104072
"22","IMG_2100 3.jpg",1,3,"F",3,19568,1028.029,85,0.692,1.81166666666667,0.567666666666667,0.909666666666667,76.5536666666667,89.924,26.9903333333333,11.6967446717081
"23","IMG_2100 3.jpg",1,3,"G",1,1569,267.439,84.997,0.276,7.418,0.135,0.818,87.505,93.262,50.668,0.937867558764824
"24","IMG_2100 3.jpg",1,3,"H",2,6708,498.6,85.006,0.6665,1.738,0.5805,0.9165,109.433,113.196,57.369,4.00969763173642
"25","IMG_2100 3.jpg",1,4,"A",1,21510,946.774,85.137,0.302,1.244,0.804,0.746,82.894,96.226,34.326,12.8575724595484
"26","IMG_2100 3.jpg",1,4,"B",2,8189,586.961,85,0.597,2.737,0.366,0.9535,92.0405,105.1835,41.097,4.89496331340035
"27","IMG_2100 3.jpg",1,4,"C",4,20789,1271.249,85.27675,0.5295,1.82375,0.568,0.8345,106.0345,116.141,50.31625,12.4265957164831
"28","IMG_2100 3.jpg",1,4,"D",1,27926,1215.852,85.092,0.237,1.967,0.508,0.65,85.708,99.384,34.914,16.6927274990863
"29","IMG_2100 3.jpg",1,4,"E",2,32155,1378.906,85.077,0.4835,1.8335,0.569,0.7885,86.8825,100.109,35.583,19.2206063429464
"30","IMG_2100 3.jpg",1,4,"F",3,18727,1053.099,85.1233333333333,0.629,2.094,0.509,0.902333333333333,89.0066666666667,101.569,37.0433333333333,11.1940380962325
"31","IMG_2100 3.jpg",1,4,"G",2,16739,795.82,85.005,0.664,1.7735,0.568,0.9235,93.0885,104.2345,39.731,10.005713872635
"32","IMG_2100 3.jpg",1,4,"H",2,12040,649.595,85.0005,0.6645,1.2345,0.81,0.8875,93.1595,103.6155,46.671,7.19689318516793
"33","IMG_2100 3.jpg",1,5,"A",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"34","IMG_2100 3.jpg",1,5,"B",1,27346,1266.237,85.006,0.214,1.628,0.614,0.752,85.938,99.607,35.259,16.3460333091032
"35","IMG_2100 3.jpg",1,5,"C",2,11380,738.666,85.703,0.535,2.272,0.442,0.8555,103.6275,116.5905,45.4685,6.80237910691122
"36","IMG_2100 3.jpg",1,5,"D",3,8993,834.749,85.1943333333333,0.468666666666667,2.34933333333333,0.526333333333333,0.827333333333333,98.5013333333333,109.228,45.839,5.37555319054944
"37","IMG_2100 3.jpg",1,5,"E",3,11822,870.933,85.582,0.491333333333333,2.49366666666667,0.454,0.842,115.068,122.085333333333,58.3536666666667,7.06658398962253
"38","IMG_2100 3.jpg",1,5,"F",2,20655,924.473,85.018,0.6065,1.8385,0.5795,0.8795,96.6715,108.1925,39.2965,12.3464974036249
"39","IMG_2100 3.jpg",1,5,"G",3,25077,1220.94,85,0.618,2.15,0.474333333333333,0.917666666666667,81.4233333333333,94.559,30.1636666666667,14.9897417279449
"40","IMG_2100 3.jpg",1,5,"H",1,12335,663.495,85.002,0.352,2.958,0.338,0.723,74.875,88.76,30.364,7.37322902317661
"41","IMG_2100 3.jpg",1,6,"A",3,4869,630.766,85.369,0.430333333333333,1.88766666666667,0.546,0.812,123.984,130.193333333333,61.6986666666667,2.91043795004839
"42","IMG_2100 3.jpg",1,6,"B",2,19090,1187.301,85.001,0.3795,2.7865,0.382,0.7635,93.2405,104.8515,43.0825,11.4110208392737
"43","IMG_2100 3.jpg",1,6,"C",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"44","IMG_2100 3.jpg",1,6,"D",2,9418,655.654,85,0.549,2.043,0.491,0.834,90.081,103.6035,39.635,5.62959634700262
"45","IMG_2100 3.jpg",1,6,"E",1,7430,434.659,85.224,0.494,1.522,0.657,0.861,109.401,119.295,52.666,4.44127212340513
"46","IMG_2100 3.jpg",1,6,"F",2,11014,605.511,85,0.762,1.4585,0.7165,0.934,89.7015,103.78,36.634,6.58360311805977
"47","IMG_2100 3.jpg",1,6,"G",1,2459,227.279,85.001,0.598,1.728,0.579,0.888,85.551,96.269,35.155,1.46986381580797
"48","IMG_2100 3.jpg",1,6,"H",2,4685,410.392,85,0.69,1.8725,0.535,0.931,74.627,84.9175,31.68,2.80045220701925
"49","IMG_2102 2.jpg",1,7,"A",1,24432,986.087,71.858,0.316,1.366,0.732,0.749,82.042,94.71,38.815,14.6544953129609
"50","IMG_2102 2.jpg",1,7,"B",2,7437,527.588,74.668,0.555,2.627,0.3895,0.905,86.3285,95.9755,41.645,4.46076791267561
"51","IMG_2102 2.jpg",1,7,"C",1,566,122.811,86.818,0.472,2.043,0.49,0.839,97.53,103.769,59.092,0.339491009624095
"52","IMG_2102 2.jpg",1,7,"D",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"53","IMG_2102 2.jpg",1,7,"E",1,4166,296.676,87.606,0.595,1.399,0.715,0.897,102.298,109.278,51.259,2.49879778461834
"54","IMG_2102 2.jpg",1,7,"F",1,13200,680.968,78.835,0.358,2.588,0.386,0.762,92.246,102.998,41.178,7.9174581749789
"55","IMG_2102 2.jpg",1,7,"G",1,4841,337.161,78.874,0.535,2.17,0.461,0.801,91.928,102.338,42.263,2.90366780492976
"56","IMG_2102 2.jpg",1,7,"H",2,23121,1086.597,78.706,0.4995,1.7055,0.589,0.857,91.1495,99.96,44.922,13.8681477624005
"57","IMG_2102 2.jpg",1,8,"A",1,3051,223.664,77.284,0.766,1.272,0.786,0.928,89.676,98.285,43.893,1.83001249180762
"58","IMG_2102 2.jpg",1,8,"B",2,9308,530.257,81.4215,0.5875,2.5495,0.3935,0.905,92.8865,101.638,49.742,5.58300762823512
"59","IMG_2102 2.jpg",1,8,"C",3,6872,539.227,95.8313333333333,0.766,1.16733333333333,0.858666666666667,0.933666666666667,111.008333333333,117.161333333333,59.3206666666667,4.12187671048901
"60","IMG_2102 2.jpg",1,8,"D",3,11822,737.838,80.8026666666667,0.804,1.36366666666667,0.733666666666667,0.961,93.2916666666667,104.499,44.6736666666667,7.0909235261061
"61","IMG_2102 2.jpg",1,8,"E",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"62","IMG_2102 2.jpg",1,8,"F",1,14965,694.34,69.291,0.39,2.141,0.467,0.757,79.93,93.03,34.674,8.97611830216358
"63","IMG_2102 2.jpg",1,8,"G",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"64","IMG_2102 2.jpg",1,8,"H",1,10316,459.688,71.438,0.613,1.308,0.764,0.881,82.992,95.076,36.276,6.18761352523351
"65","IMG_2102 2.jpg",1,9,"A",2,5643,408.233,86.7625,0.8075,1.4585,0.7185,0.954,100.86,108.1395,51.087,3.38471336980348
"66","IMG_2102 2.jpg",1,9,"B",2,17288,1287.599,105.071,0.2345,1.4135,0.7145,0.7915,121.0825,126.4295,67.6875,10.3694709794724
"67","IMG_2102 2.jpg",1,9,"C",2,16479,897.217,87.77,0.5155,1.8785,0.5555,0.836,101.281,111.689,50.1955,9.88422676253616
"68","IMG_2102 2.jpg",1,9,"D",1,9999,472.742,84.451,0.562,1.385,0.722,0.87,96.618,107.639,49.218,5.99747456754652
"69","IMG_2102 2.jpg",1,9,"E",2,15427,757.661,84.1785,0.664,1.5935,0.658,0.9085,97.741,107.9325,46.819,9.25322933828784
"70","IMG_2102 2.jpg",1,9,"F",2,12853,772.264,93.5565,0.4835,1.511,0.6995,0.8695,109.9565,117.0895,53.6705,7.70932499416695
"71","IMG_2102 2.jpg",1,9,"G",1,14344,593.796,81.414,0.511,1.327,0.753,0.827,93.881,104.64,45.74,8.60363788347707
"72","IMG_2102 2.jpg",1,9,"H",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"73","IMG_2102 2.jpg",1,10,"A",1,7051,492.174,69.878,0.366,2.728,0.367,0.752,80.465,91.084,38.019,4.22924224180123
"74","IMG_2102 2.jpg",1,10,"B",1,6251,519.955,74.208,0.291,1.457,0.686,0.731,87.947,96.441,38.22,3.74939629180251
"75","IMG_2102 2.jpg",1,10,"C",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"76","IMG_2102 2.jpg",1,10,"D",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"77","IMG_2102 2.jpg",1,10,"E",1,3715,253.421,89.013,0.727,1.431,0.699,0.903,108.936,110.211,47.864,2.22828463030656
"78","IMG_2102 2.jpg",1,10,"F",1,4709,285.12,60.94,0.728,1.624,0.616,0.926,70.015,81.001,31.747,2.82449322317997
"79","IMG_2102 2.jpg",1,10,"G",2,4475,378.96,73.033,0.7345,1.577,0.634,0.915,88.9245,91.6075,38.4275,2.68413828280535
"80","IMG_2102 2.jpg",1,10,"H",1,3038,264.049,68.644,0.548,1.377,0.726,0.809,80.732,89.049,36.143,1.82221499512014
"81","IMG_2102 2.jpg",1,11,"A",1,5519,304.978,65.857,0.746,1.612,0.62,0.915,74.999,88.841,33.854,3.31033724755368
"82","IMG_2102 2.jpg",1,11,"B",1,2816,212.066,79.427,0.787,1.683,0.594,0.966,96.371,100.098,42.059,1.6890577439955
"83","IMG_2102 2.jpg",1,11,"C",4,5303,593.998,70.8425,0.61825,1.955,0.5535,0.8495,83.06825,87.9885,41.47425,3.18077884105402
"84","IMG_2102 2.jpg",1,11,"D",2,2556,360.132,86.281,0.5075,1.745,0.574,0.8495,100.644,103.671,54.4175,1.53310781024591
"85","IMG_2102 2.jpg",1,11,"E",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"86","IMG_2102 2.jpg",1,11,"F",1,5162,408.316,56.32,0.389,1.505,0.665,0.739,65.915,76.096,26.973,3.09620599236675
"87","IMG_2102 2.jpg",1,11,"G",1,5712,336.919,70.924,0.632,1.454,0.688,0.892,82.141,92.417,38.178,3.42610008299087
"88","IMG_2102 2.jpg",1,11,"H",1,3289,284.593,66.843,0.51,1.629,0.614,0.805,78.867,86.101,35.431,1.97276666193224
"89","IMG_2102 2.jpg",1,12,"A",2,13439,980.23,69.6615,0.524,1.5435,0.6785,0.835,79.1285,90.5415,39.4085,8.06081215254102
"90","IMG_2102 2.jpg",1,12,"B",1,1657,173.823,71.174,0.689,1.534,0.652,0.923,84.331,90.52,38.651,0.993880923934851
"91","IMG_2102 2.jpg",1,12,"C",1,2116,255.865,96.353,0.406,1.366,0.732,0.791,119.765,116.43,52.85,1.26919253774662
"92","IMG_2102 2.jpg",1,12,"D",1,2853,225.765,64.118,0.703,1.372,0.729,0.919,74.407,82.859,35.169,1.71125061918294
"93","IMG_2102 2.jpg",1,12,"E",2,7490,545.712,73.574,0.63,1.7995,0.5565,0.903,88.0015,94.6455,38.0565,4.49255770686303
"94","IMG_2102 2.jpg",1,12,"F",2,7452,561.755,76.7645,0.5895,1.91,0.5315,0.853,92.1135,98.327,39.8735,4.46976502423809
"95","IMG_2102 2.jpg",1,12,"G",3,6224,590.968,75.2233333333333,0.66,1.74366666666667,0.608,0.919666666666667,92.2996666666667,94.7436666666667,38.6003333333333,3.73320149099005
"96","IMG_2102 2.jpg",1,12,"H",1,13055,649.227,64.299,0.389,1.629,0.614,0.812,76.799,84.94,31.21,7.83048609654163
"97","IMG_2103.jpg",2,1,"A",1,1659,165.137,85,0.764,1.562,0.64,0.919,93.599,105.327,31.366,2.45281622497056
"98","IMG_2103.jpg",2,1,"B",1,2368,215.865,85,0.639,1.345,0.744,0.892,76.238,90.783,27.096,3.50106619694412
"99","IMG_2103.jpg",2,1,"C",2,3005,328.634,85,0.6805,2.018,0.535,0.931,87.6625,101.1525,31.5365,4.44286483184842
"100","IMG_2103.jpg",2,1,"D",2,5231,528.399,85.0725,0.521,2.0905,0.479,0.854,100.5665,110.5275,38.3085,7.7339853362393
"101","IMG_2103.jpg",2,1,"E",1,1452,159.196,85,0.72,1.64,0.61,0.916,98.826,111.406,36.747,2.14676863089648
"102","IMG_2103.jpg",2,1,"F",1,1029,123.539,85,0.847,1.423,0.703,0.955,87.731,92.398,30.181,1.52136702561465
"103","IMG_2103.jpg",2,1,"G",1,2232,266.149,85,0.396,2.078,0.481,0.715,105.09,111.717,42.346,3.29999144914665
"104","IMG_2103.jpg",2,1,"H",2,1178,228.852,85,0.574,2.5215,0.3965,0.9025,63.557,76.804,26.3465,1.74166215371629
"105","IMG_2103.jpg",2,2,"A",1,2009,183.238,85,0.752,1.291,0.774,0.912,78.788,93.044,23.195,2.97028800239051
"106","IMG_2103.jpg",2,2,"B",1,965,120.953,85,0.829,1.254,0.798,0.935,85.275,98.874,29.589,1.42674361488643
"107","IMG_2103.jpg",2,2,"C",1,1582,188.368,85,0.56,1.469,0.681,0.872,91.525,102.954,29.341,2.33897243393817
"108","IMG_2103.jpg",2,2,"D",1,1774,233.078,85,0.41,1.742,0.574,0.857,110.921,116.187,46.661,2.62284266612283
"109","IMG_2103.jpg",2,2,"E",2,2027,261.664,85,0.7405,1.482,0.6815,0.91,106.2895,113.358,38.416,2.99690083665782
"110","IMG_2103.jpg",2,2,"F",2,3108,351.747,88.4755,0.6175,2.0155,0.4975,0.862,113.554,113.076,41.7225,4.59514938348915
"111","IMG_2103.jpg",2,2,"G",3,2602,347.747,85,0.769,1.44366666666667,0.731333333333333,0.916,91.66,96.8496666666667,34.5753333333333,3.84703304241917
"112","IMG_2103.jpg",2,2,"H",1,315,154.652,85.702,0.166,2.661,0.376,0.477,118.079,117.168,66.098,0.465724599677954
"113","IMG_2103.jpg",2,3,"A",1,1069,161.095,85,0.518,2.053,0.487,0.757,107.238,113.529,45.59,1.58050665731979
"114","IMG_2103.jpg",2,3,"B",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"115","IMG_2103.jpg",2,3,"C",2,1287,190.551,85,0.852,1.44,0.696,0.937,132.947,124.558,60.947,1.90281765011279
"116","IMG_2103.jpg",2,3,"D",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"117","IMG_2103.jpg",2,3,"E",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"118","IMG_2103.jpg",2,3,"F",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"119","IMG_2103.jpg",2,3,"G",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"120","IMG_2103.jpg",2,3,"H",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"121","IMG_2103.jpg",2,4,"A",1,326,89.012,85,0.517,3.209,0.312,0.831,145.61,144.117,77.466,0.481987998396867
"122","IMG_2103.jpg",2,4,"B",1,1909,174.167,85,0.791,1.346,0.743,0.93,76.519,87.488,33.965,2.82243892312767
"123","IMG_2103.jpg",2,4,"C",2,2530,310.433,85,0.645,1.7665,0.566,0.867,102.102,108.048,42.9355,3.74058170534992
"124","IMG_2103.jpg",2,4,"D",1,1149,133.882,85,0.806,1.222,0.818,0.938,129.114,130.117,52.347,1.69878592073006
"125","IMG_2103.jpg",2,4,"E",1,1576,162.853,85.485,0.747,1.464,0.683,0.925,154.159,148.953,72.079,2.3301014891824
"126","IMG_2103.jpg",2,4,"F",2,3020,336.676,85,0.676,1.4755,0.689,0.859,122.741,125.7365,50.6515,4.46504219373785
"127","IMG_2103.jpg",2,4,"G",1,1499,166.167,85,0.682,1.86,0.538,0.901,137.556,139.312,66.118,2.21625769815001
"128","IMG_2103.jpg",2,4,"H",1,1511,157.439,85,0.766,1.305,0.767,0.93,103.031,110.281,40.345,2.23399958766155
"129","IMG_2103.jpg",2,5,"A",1,1213,147.196,85,0.704,1.645,0.608,0.898,84.799,85.52,33.007,1.79340933145828
"130","IMG_2103.jpg",2,5,"B",1,1446,154.368,85,0.763,1.378,0.726,0.92,60.807,74.521,25.172,2.13789768614071
"131","IMG_2103.jpg",2,5,"C",1,1402,145.924,85,0.827,1.474,0.678,0.946,77.685,87.372,28.679,2.07284409126505
"132","IMG_2103.jpg",2,5,"D",1,2090,191.238,85,0.718,1.593,0.628,0.918,97.772,110.865,41.834,3.09004575659341
"133","IMG_2103.jpg",2,5,"E",2,1916,241.764,85,0.7325,1.4245,0.703,0.9,88.96,100.0775,33.077,2.83278835867607
"134","IMG_2103.jpg",2,5,"F",2,2472,272.634,85,0.8245,1.4015,0.716,0.94,110.67,115.894,46.9995,3.65482923937747
"135","IMG_2103.jpg",2,5,"G",1,527,110.569,85.083,0.542,2.253,0.444,0.877,93.013,99.4,43.347,0.779164647715181
"136","IMG_2103.jpg",2,5,"H",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"137","IMG_2103.jpg",2,6,"A",2,5341,421.789,87.6825,0.7385,1.602,0.644,0.919,142.955,149.3465,69.4155,7.89661932342843
"138","IMG_2103.jpg",2,6,"B",2,7889,558.885,85,0.584,2.0145,0.538,0.89,119.94,133.4305,53.3835,11.6638138630457
"139","IMG_2103.jpg",2,6,"C",2,7646,570.884,85,0.5895,2.1505,0.465,0.8465,123.959,137.0415,55.273,11.304540600437
"140","IMG_2103.jpg",2,6,"D",2,4876,396.617,85.027,0.7615,1.672,0.6215,0.924,143.121,150.9905,70.144,7.20912110485621
"141","IMG_2103.jpg",2,6,"E",3,9853,717.394,85,0.723,1.79166666666667,0.570666666666667,0.909333333333333,119.398333333333,134.221333333333,55.3323333333333,14.5675697797679
"142","IMG_2103.jpg",2,6,"F",1,684,109.054,85,0.723,1.528,0.654,0.891,120.427,130.57,64.472,1.01128770215784
